,climate_zone,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,Carbon monoxide,PM2.5 - Local Conditions,Wind Direction,Solar radiation,Relative Humidity ,Outdoor Temperature,Wind Speed,Nitrogen dioxide (NO2),Barometric pressure,Ultraviolet radiation
0,Ohio Valley,47,Tennessee,0101,Great Smoky Mountains NP - Look Rock,009,7,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1,Ohio Valley,47,Tennessee,0102,Great Smoky Mountains NP - Cade's Cove,009,6,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
0,South,48,Texas,1035,Clinton,201,10,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1,South,48,Texas,0044,El Paso Chamizal,141,8,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2,South,48,Texas,0037,El Paso UTEP,141,8,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
3,South,48,Texas,0029,Northwest Harris County,201,7,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4,South,48,Texas,0024,Houston Aldine,201,7,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
5,South,48,Texas,0055,Ascarate Park SE,141,7,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
6,South,48,Texas,0101,Big Bend NP - K-Bar Ranch Road,043,6,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,South,48,Texas,0069,Dallas Hinton,113,6,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0,Southwest,49,Utah,0101,Canyonlands NP - Island in the Sky,037,6,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,Southwest,49,Utah,3006,Hawthorne,035,6,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,Southeast,51,Virginia,0003,Shenandoah NP - Big Meadows,113,7,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0,Northwest,53,Washington,0080,SEATTLE - BEACON HILL,033,6,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0,Northern Rockies and Plains,56,Wyoming,1011,Yellowstone NP - Water Tank,039,6,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
